date,Month,hive_weight,hive_temperature,hive_humidity,ambient_temperature,ambient_humidity,ambient_luminosity,ambient_rain,wx_temp,wx_humidity,wx_wind,wx_gusts,wx_direction,wx_dewpoint,wx_pressure,wx_rain,battery,KMeansLabel,Estacao
2017-03-01 09:55:01,3,26.35,8.4,88.0,6.3,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 10:00:01,3,26.34,8.3,88.0,6.5,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 10:05:01,3,26.17,8.4,88.0,6.5,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 10:10:01,3,26.34,8.4,88.0,6.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 10:15:01,3,26.36,8.4,88.0,6.3,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 10:20:01,3,26.41,8.5,88.0,7.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 10:25:01,3,26.4,8.5,88.0,6.8,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 10:30:01,3,26.37,8.5,88.0,6.7,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 10:35:01,3,26.26,8.5,88.0,6.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 10:40:01,3,26.25,8.4,88.0,6.3,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 10:45:01,3,26.41,8.3,87.0,6.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 10:50:01,3,26.32,8.3,87.0,6.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 10:55:01,3,26.33,8.3,87.0,7.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 11:00:01,3,26.38,8.2,87.0,6.9,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 11:05:01,3,26.31,8.2,87.0,7.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 11:10:01,3,26.31,8.3,88.0,7.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 11:15:01,3,26.37,8.4,88.0,6.9,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 11:20:01,3,26.39,8.4,88.0,6.7,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 11:25:01,3,26.39,8.4,88.0,7.5,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 11:30:01,3,26.38,8.5,88.0,7.5,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 11:35:01,3,26.35,8.6,88.0,7.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 11:40:01,3,26.35,8.6,88.0,7.5,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 11:45:01,3,26.39,8.4,87.0,6.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 11:50:01,3,26.41,8.3,87.0,6.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 11:55:01,3,26.47,8.2,87.0,5.7,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 12:00:01,3,26.39,8.1,87.0,5.3,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 12:05:01,3,26.49,8.2,87.0,5.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 12:10:01,3,26.44,8.2,87.0,4.8,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 12:15:01,3,26.43,8.2,88.0,4.6,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 12:20:01,3,26.4,7.8,88.0,4.3,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 12:25:01,3,26.51,7.7,88.0,3.9,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 12:30:01,3,26.49,7.1,88.0,3.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 12:35:01,3,26.42,7.1,88.0,2.6,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 12:40:02,3,26.53,6.9,88.0,2.6,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 12:45:01,3,26.49,7.1,89.0,2.5,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 12:50:01,3,26.54,7.2,89.0,2.7,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 12:55:01,3,26.46,7.2,90.0,3.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 13:00:01,3,26.45,7.1,90.0,3.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 13:05:01,3,26.5,6.7,90.0,3.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 13:10:01,3,26.49,6.8,90.0,2.6,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
