temperatura interna,temperatura externa
34.22,22.84
34.2,22.79
34.01,22.39
33.82,21.94
33.82,22.32
33.86,22.26
33.9,22.37
33.69,22.75
33.71,23.8
33.79,24.64
33.9,25.5
34.1,26.86
34.4,27.95
34.33,28.72
34.5,30.87
34.78,31.95
34.55,32.83
34.61,32.29
35.15,33.19
34.83,33.52
34.78,34.27
34.83,32.89
35.04,33.13
34.87,32.74
34.87,33.04
35.06,35.26
35.11,33
34.83,30.94
34.78,29.52
34.7,27.54
34.89,27.44
34.74,27.65
34.4,27.01
34.4,26.79
34.22,26.38
34.48,26.77
34.29,26.15
34.42,26.34
34.31,25.5
34.12,25.65
34.53,25.89
34.33,25.93
34.16,25.7
33.97,25.63
34.22,25.37
33.92,25.07
34.4,24.81
34.12,24.28
34.31,24.62
33.99,24.34
34.31,23.96
33.73,24.11
34.16,24.02
34.03,24.08
33.86,24.17
33.86,24.86
33.88,25.48
34.16,26.32
34.12,27.01
34.16,28.23
34.18,28.68
34.8,30.46
34.8,31.71
34.63,33.45
34.8,34.53
35.06,33.02
34.91,34.05
35.15,34.07
35.11,33.37
34.87,34.1
35.3,33.77
35.3,33.34
35.06,33.19
34.91,32.38
35.04,31.54
35.02,30.49
35.06,28.75
35.08,28.1
34.74,27.78
34.59,27.2
34.44,28.02
34.27,27.09
34.29,25.91
34.12,26.62
34.33,26.62
34.31,26.68
34.48,26.4
34.4,25.54
34.2,25.29
34.07,25.35
34.18,25.27
34.25,25.33
34.27,24.66
34.46,25.07
34.2,24.19
34.46,24.45
34.18,24.51
34.29,24.38
34.29,24.17
34.38,24.23
33.97,23.91
33.62,24.38
34.29,25.09
34.14,25.59
33.99,26.3
34.14,27.09
33.97,27.82
33.73,28.23
34.2,28.96
34.46,30.55
34.53,32.59
34.74,33.88
34.89,33.95
34.93,34.57
34.93,33.47
35,33.52
34.87,33.73
34.78,33.34
34.93,33.28
35.04,32.91
35.04,31.71
34.78,31.82
34.68,28.94
34.76,28.32
34.8,27.71
34.89,27.63
34.38,26.62
34.29,27.07
34.31,25.95
34.63,25.65
34.31,25.67
34.18,25.72
34.2,25.57
34.01,25.52
34.07,25.48
34.31,24.79
34.29,24.96
34.25,24.32
34.16,24.58
34.12,23.87
34.16,23.74
34.29,23.5
34.1,23.85
34.03,23.38
34.03,23.18
34.12,23.2
33.77,23.01
34.18,23.12
33.97,23.25
33.79,23.91
34.01,24.77
34.25,25.72
33.95,26.58
34.12,27.84
34.16,28.6
34.22,29.15
34.33,30.01
34.63,32.08
34.76,33.88
34.76,35.21
35.17,34.96
34.89,33.84
34.91,33.77
34.78,33.28
34.93,34.01
35.19,33.64
34.93,32.46
35.11,33.02
35.11,31.37
34.85,29.8
34.59,28.04
34.48,27.74
34.59,27.56
34.38,26.98
34.35,27.18
34.48,26.9
34.14,26.4
34.44,25.67
34.27,25.8
34.4,25.7
34.29,24.84
34.16,24.71
34.2,24.11
34.27,24.21
34.16,23.59
33.58,24.02
34.35,23.4
34.16,23.16
34.35,23.18
34.27,23.35
33.97,23.31
33.71,23.01
34.33,22.92
33.99,22.84
33.92,22.92
33.97,23.25
34.2,24.13
34.1,24.73
33.95,25.7
34.31,26.28
34.16,27.2
34.33,28.34
34.29,29.48
34.5,31.2
34.61,32.7
34.83,34.61
35,35.49
35.3,35.15
35.26,34.35
35.23,34.7
35,34.5
35.02,33.15
35.26,33.67
35.06,33.24
35.19,32.14
34.83,31.09
34.98,30.74
34.96,28.49
35.11,28.38
35.02,28.34
34.93,28.38
34.74,28.08
34.76,28.29
34.7,28.06
34.74,27.09
34.65,27.52
34.63,26.81
34.22,27.13
34.31,26.81
34.27,25.89
34.35,26.1
34.33,25.44
34.42,25.76
34.31,25.65
34.53,25.52
34.31,24.81
34.25,25.35
34.22,25.27
34.5,25.07
34.14,25.22
34.38,25.01
34.27,25.22
34.18,24.86
34.07,25.42
34.16,26.15
34.29,27.01
34.65,28.04
34.7,28.36
34.53,28.96
34.48,30.87
34.61,32.12
35.04,33.3
34.91,35
35.41,36.18
35.38,36.59
35.6,35.41
35.6,35.08
35.28,35.47
35.36,34.57
35.54,35.13
35.66,33.73
35.34,33.39
35.34,32.61
35.34,31.86
35.02,30.25
35.17,29.5
35.21,29.76
34.96,28.34
35.02,28.4
34.85,27.65
34.83,28.1
34.85,27.39
34.96,27.95
34.74,27.52
34.89,26.9
34.87,26.15
34.57,26.79
34.63,26.17
34.46,26.51
34.55,25.74
34.74,25.54
34.55,25.42
34.5,25.27
34.48,24.73
34.33,24.06
34.42,24.04
34.35,24.15
34.5,23.91
33.92,23.14
33.99,23.14
33.84,23.7
33.92,24.13
34.14,24.77
34.38,26.45
34.12,27.39
34.2,28.75
34.57,29.63
34.55,31.47
34.83,32.89
35.06,35.04
35.32,35.71
35.26,36.01
35.47,36.18
35.6,35.69
35.36,35.06
35.45,35
35.34,34.8
35.28,34.48
35.51,33.26
35,32.72
35.02,31.95
35.11,30.62
35.02,29.43
35.02,27.41
35.13,27.09
34.89,27.46
34.59,25.76
34.53,26.23
34.38,26.12
34.44,25.37
34.57,24.84
34.16,24
34.16,24.08
34.53,23.46
34.16,23.53
34.38,23.03
34.29,23.48
34.31,23.07
33.71,22.99
34.16,23.14
34.2,22.54
34.46,22.09
34.29,22.15
34.18,21.83
34.25,21.94
33.62,21.53
34.18,21.51
34.2,22.06
33.9,22.88
34.18,24.23
34.29,25.2
34.44,26.75
34.22,27.65
34.5,28.85
34.78,30.36
35.04,31.95
34.83,33.26
35.28,35.62
35.54,34.78
35.56,34.57
35.43,33.9
35.19,34.18
35.15,34.29
35.04,34.03
35.56,34.2
35.17,33.09
35.28,33.79
35.26,32.33
35,31.11
35,29.09
34.91,28.04
35.06,27.99
35.11,26.77
35.08,27.44
35.11,26.4
34.65,24.84
34.61,25.29
34.42,24.38
34.31,25.09
34.59,24.51
34.4,23.42
34.61,23.07
34.42,22.49
34.29,22.69
34.53,22.67
34.22,22.54
34.48,22.47
34.2,21.74
34.18,21.68
34.16,22.21
34.42,21.38
34.38,22
34.07,21.53
34.33,21.66
34.46,21.4
34.12,22.19
34.2,23.2
34.35,23.87
34.46,24.99
34.2,26.66
34.22,27.89
34.48,28.85
34.46,29.73
34.46,30.83
34.57,31.62
34.61,32.05
34.72,33.52
34.85,33.13
34.93,33.67
35.08,33.86
35.19,33.24
35.04,33.79
35.28,33.86
35.47,33.3
35.3,33.19
35.17,32.53
35.08,31.56
35,30.34
35.13,29.76
35.15,28.75
34.89,28.4
35.19,27.35
34.83,27.24
34.8,27.09
34.27,25.82
34.96,25.48
34.68,25.22
34.83,24.69
34.91,24.41
34.7,24.28
34.61,23.8
34.76,23.93
34.83,23.29
34.76,22.88
34.68,22.39
34.55,22.37
34.1,22.28
34.61,21.98
34.35,22.32
34.31,21.94
34.46,21.72
34.14,21.55
34.35,21.36
34.1,22.19
34.05,23.14
34.14,23.65
34.31,24.75
34.4,26.62
34.4,28.12
34.57,29.22
34.44,31.28
34.59,32.1
34.93,32.33
34.89,34.38
35.15,35.54
35.51,34.93
35.47,34.83
35.26,34.48
35.3,33.95
35.3,34.4
35.15,34.07
35.73,33.73
35.49,33
35.34,31.26
35.19,30.16
35.06,28.36
35.11,28.29
35,27.22
34.89,27.09
34.78,26.21
34.68,25.8
34.85,24.11
34.87,24.84
34.7,24.08
34.53,23.53
34.57,23.07
34.48,22.67
34.55,22.37
34.31,22.11
34.18,21.74
34.25,21.44
34.38,20.73
34.29,21.36
34.55,21.1
34.16,21.05
34.14,20.73
34.22,20.41
34.2,20.11
34.16,19.98
34.07,20.04
33.88,20.54
33.88,21.31
33.97,22.02
34.29,23.48
34.55,24.6
34.65,25.95
34.4,27.24
34.76,28.83
34.98,30.59
